mapping_key,source_system,service_category_original,service_category_standardized
nyc_311|Residential Disposal Complaint,nyc_311,Residential Disposal Complaint,Sanitation / Cleaning / Waste
nyc_311|Dead Animal,nyc_311,Dead Animal,Sanitation / Cleaning / Waste
nyc_311|Sewer,nyc_311,Sewer,Utilities / Water / Sewer
nyc_311|Water System,nyc_311,Water System,Utilities / Water / Sewer
nyc_311|Illegal Fireworks,nyc_311,Illegal Fireworks,Public Safety / Police
nyc_311|Non-Emergency Police Matter,nyc_311,Non-Emergency Police Matter,Public Safety / Police
nyc_311|Drinking,nyc_311,Drinking,Public Safety / Police
nyc_311|Panhandling,nyc_311,Panhandling,Public Safety / Police
nyc_311|Animal-Abuse,nyc_311,Animal-Abuse,Public Safety / Police
nyc_311|Vendor Enforcement,nyc_311,Vendor Enforcement,Public Safety / Police
nyc_311|Homeless Person Assistance,nyc_311,Homeless Person Assistance,Social Services / Homelessness
nyc_311|Encampment,nyc_311,Encampment,Social Services / Homelessness
nyc_311|Rodent,nyc_311,Rodent,Public Health / Pests
nyc_311|Food Establishment,nyc_311,Food Establishment,Public Health / Pests
nyc_311|Smoking or Vaping,nyc_311,Smoking or Vaping,Public Health / Pests
nyc_311|Consumer Complaint,nyc_311,Consumer Complaint,Economic Development / Commerce
nyc_311|Street Light Condition,nyc_311,Street Light Condition,Public Space Maintenance
nyc_311|Litter Basket Request,nyc_311,Litter Basket Request,Sanitation / Cleaning / Waste
nyc_311|Indoor Air Quality,nyc_311,Indoor Air Quality,Public Health / Pests
nyc_311|Drug Activity,nyc_311,Drug Activity,Public Safety / Police
nyc_311|Outdoor Dining,nyc_311,Outdoor Dining,Economic Development / Commerce
nyc_311|Highway Condition,nyc_311,Highway Condition,Public Space Maintenance
nyc_311|Root/Sewer/Sidewalk Condition,nyc_311,Root/Sewer/Sidewalk Condition,Public Space Maintenance
nyc_311|Building/Use,nyc_311,Building/Use,Housing / Buildings / Urban Planning
nyc_311|Traffic,nyc_311,Traffic,Mobility / Parking / Traffic
nyc_311|APPLIANCE,nyc_311,APPLIANCE,Housing / Buildings / Urban Planning
nyc_311|Animal in a Park,nyc_311,Animal in a Park,Parks / Trees / Environment
nyc_311|Electrical,nyc_311,Electrical,Housing / Buildings / Urban Planning
nyc_311|Food Poisoning,nyc_311,Food Poisoning,Public Health / Pests
nyc_311|Abandoned Bike,nyc_311,Abandoned Bike,Mobility / Parking / Traffic
nyc_311|Standing Water,nyc_311,Standing Water,Public Health / Pests
nyc_311|SAFETY,nyc_311,SAFETY,Housing / Buildings / Urban Planning
